body_part,info,contrast,priority
foot,"Strong suspicion of avascular necrosis if plain film, Nuclear Medicine or CT inconclusive",f,P2
c-spine,Acute joint injury tendon rupture,f,P2
c-spine,Acute osteomyelitis,t,P1
c-spine,"Characterization soft tissue mass, likely benign (lipoma)",t,P3
c-spine,Chronic joint pain,f,P4
c-spine,Chronic Osteomyelitis,t,P2
c-spine,Brachial plexus,f,P3
c-spine,Brachial plexus query tumour,t,P3
c-spine,Joint Injury,f,P3
c-spine,Metastatic workup,t,P3
c-spine,Primary sarcoma of bone or soft tissue,t,P2
c-spine,"Strong suspicion of avascular necrosis if plain film, Nuclear Medicine or CT inconclusive",f,P2
elbow,Acute joint injury tendon rupture,f,P2
elbow,Acute osteomyelitis,t,P1
elbow,"Characterization soft tissue mass, likely benign (lipoma)",t,P3
elbow,Chronic joint pain,f,P4
elbow,Chronic Osteomyelitis,t,P2
elbow,Joint Injury,f,P3
elbow,Metastatic workup,t,P3
elbow,Primary sarcoma of bone or soft tissue,t,P2
elbow,"Strong suspicion of avascular necrosis if plain film, Nuclear Medicine or CT inconclusive",f,P2
ankle,Acute joint injury/tendon rupture,f,P2
ankle,Acute osteomyelitis,t,P1
ankle,"Characterization soft tissue mass, likely benign (lipoma)",t,P3
ankle,Chronic joint pain,f,P4
ankle,Chronic Osteomyelitis,t,P2
ankle,Joint Injury,f,P3
ankle,Metastatic workup,t,P3
ankle,Primary sarcoma of bone or soft tissue,t,P2
ankle,"Strong suspicion of avascular necrosis if plain film, Nuclear Medicine or CT inconclusive",f,P2
knee,Arthrogram Postoperative,f,P3
elbow,Arthrogram,f,P3
ankle,Arthrogram,f,P3
wrist / hand,Arthrogram,f,P3
